Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
tree,20,Distance Vector,47.950052029136316,0.7998708541849875,60,12.288,0.006309986114501953,constant
tree,20,Link State,47.950052029136316,0.7998708541849875,60,12.288,0.0011398792266845703,constant
tree,20,Path Vector,495.48387096774195,0.01614322687482722,1860,24.8,0.0068111419677734375,constant
tree,30,Distance Vector,64.82237339380197,0.7999028476205418,124,33.19741935483871,0.05199003219604492,constant
tree,30,Link State,64.82237339380197,0.7999028476205418,124,33.19741935483871,0.006069183349609375,constant
tree,30,Path Vector,658.678955453149,0.012144047430059998,7812,50.4,0.05662798881530762,constant
tree,40,Distance Vector,82.8520057040114,0.7999233694100801,252,84.84571428571428,0.42252588272094727,constant
tree,40,Link State,82.8520057040114,0.7999233694100801,252,84.84571428571428,0.04137587547302246,constant
tree,40,Path Vector,835.0956130483689,0.009578823752768875,32004,101.6,0.4111146926879883,constant
tree,50,Distance Vector,101.65198000768935,0.7999372919019041,508,208.1864566929134,3.520989179611206,constant
tree,50,Link State,101.65198000768935,0.7999372919019041,508,208.1864566929134,0.2635960578918457,constant
tree,50,Path Vector,1020.5218465338892,0.007838512175107464,129540,204.0,3.334446907043457,constant
tree,60,Distance Vector,101.65198000768935,0.7999372919019041,508,208.1864566929134,3.3296828269958496,constant
tree,60,Link State,101.65198000768935,0.7999372919019041,508,208.1864566929134,0.2665269374847412,constant
tree,60,Path Vector,1020.5218465338892,0.007838512175107464,129540,204.0,3.3324649333953857,constant
tree,70,Distance Vector,120.94071330915553,0.7999471885515366,1020,495.3750588235294,28.42842173576355,constant
tree,70,Link State,120.94071330915553,0.7999471885515366,1020,495.3750588235294,2.0340158939361572,constant
tree,70,Path Vector,1211.7785196270288,0.006601430670662085,521220,408.8,26.80390238761902,constant
tree,80,Distance Vector,120.94071330915553,0.7999471885515366,1020,495.3750588235294,26.477720975875854,constant
tree,80,Link State,120.94071330915553,0.7999471885515366,1020,495.3750588235294,2.031716823577881,constant
tree,80,Path Vector,1211.7785196270288,0.006601430670662085,521220,408.8,27.17207980155945,constant
tree,90,Distance Vector,140.5282414534141,0.7999545046595278,2044,1151.2084540117417,220.49873518943787,constant
tree,90,Link State,140.5282414534141,0.7999545046595278,2044,1151.2084540117417,15.161850214004517,constant
tree,90,Path Vector,1406.6574462509063,0.005686917641474166,2091012,818.4,225.15974593162537,constant
tree,100,Distance Vector,160.29321687772614,0.7999600946321566,4092,2626.244692082111,1807.3966279029846,constant
tree,100,Link State,160.29321687772614,0.7999600946321566,4092,2626.244692082111,130.7460160255432,constant
tree,100,Path Vector,1603.7156155850703,0.004988166772575284,8376324,1637.6000000000001,1822.663362979889,constant
